City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,jamestown,42.1,-79.24,52.0,61,40,11.41,US,1590942876
88,chokurdakh,70.63,147.92,37.42,76,91,1.5,RU,1590943090
89,daru,-9.08,143.21,78.71,87,77,16.2,PG,1590943091
90,srednekolymsk,67.45,153.68,47.05,61,0,5.86,RU,1590943091
91,pevek,69.7,170.31,37.06,81,0,6.98,RU,1590943091
92,kahului,20.89,-156.47,73.4,69,20,6.93,US,1590942819
93,dunedin,-45.87,170.5,48.99,79,0,1.01,NZ,1590942835
94,leningradskiy,69.38,178.42,36.99,86,0,4.09,RU,1590943091
95,kaitangata,-46.28,169.85,46.99,79,3,3.0,NZ,1590943091
96,bandarbeyla,9.49,50.81,82.62,72,97,26.93,SO,1590943091
97,diveyevo,55.04,43.24,51.84,91,100,10.71,RU,1590943092
98,san quintin,30.48,-115.95,70.39,63,1,10.87,MX,1590942940
99,hueyapan,18.87,-98.67,77.0,45,5,3.51,MX,1590943092
100,udachnyy,66.42,112.4,51.8,43,75,4.47,RU,1590943092
101,chuy,-33.7,-53.46,55.17,61,95,19.22,UY,1590943092
102,oistins,13.07,-59.53,87.8,62,20,19.46,BB,1590943092
103,poum,-20.23,164.02,73.78,86,27,10.33,NC,1590943092
104,nikolskoye,59.7,30.79,57.2,33,0,13.42,RU,1590943093
105,fortuna,40.6,-124.16,57.0,87,90,3.36,US,1590943093
106,karasjok,69.47,25.51,59.0,51,100,17.22,NO,1590943093
107,qaanaaq,77.48,-69.36,31.03,90,60,0.58,GL,1590943093
108,mayumba,-3.43,10.66,76.93,84,100,3.96,GA,1590943094
109,albany,42.6,-73.97,60.01,43,21,12.39,US,1590942917
110,devils lake,48.11,-98.87,64.4,31,1,14.99,US,1590943094
111,fairbanks,64.84,-147.72,62.01,51,75,3.36,US,1590943010
112,kuito,-12.38,16.93,75.2,29,68,11.41,AO,1590943094
113,cherskiy,68.75,161.3,48.56,54,100,3.67,RU,1590943095
114,nogliki,51.83,143.17,41.99,89,94,4.38,RU,1590943095
115,padang,-0.95,100.35,79.66,78,98,4.5,ID,1590942821
116,hobart,-42.88,147.33,50.0,71,100,8.05,AU,1590942823
117,jupiter,26.93,-80.09,91.4,43,1,3.36,US,1590943095
118,bonthe,7.53,-12.51,79.9,85,98,9.86,SL,1590943095
119,bandundu,-3.32,17.37,78.58,82,92,4.45,CD,1590943096
120,talnakh,69.49,88.4,39.2,69,0,13.42,RU,1590943096
121,biak,-0.91,122.88,78.35,82,55,4.23,ID,1590943096
122,yangjiang,21.85,111.97,80.62,91,78,7.72,CN,1590943096
123,impfondo,1.64,18.07,81.41,70,100,3.69,CG,1590943096
124,inta,66.03,60.17,41.61,88,100,7.29,RU,1590943097
125,torbay,47.67,-52.73,73.4,64,20,25.28,CA,1590943097
126,coquimbo,-29.95,-71.34,57.2,93,90,6.93,CL,1590942827
127,tamandare,-8.76,-35.1,82.18,70,71,4.16,BR,1590943097
128,natal,-5.79,-35.21,86.0,66,40,11.41,BR,1590943097
129,lebu,-37.62,-73.65,53.35,57,81,16.02,CL,1590943097
130,tasiilaq,65.61,-37.64,41.0,80,14,4.7,GL,1590943098
131,krasnoye,49.91,24.61,57.2,87,75,13.42,UA,1590943098
132,berlevag,70.86,29.09,46.4,42,40,25.28,NO,1590943098
133,saskylakh,71.92,114.08,40.48,83,100,6.76,RU,1590943099
134,hithadhoo,-0.6,73.08,84.36,68,77,9.48,MV,1590943099
135,van wert,40.87,-84.58,62.01,38,1,5.82,US,1590943099
136,pisco,-13.7,-76.22,66.2,82,90,4.7,PE,1590943100
137,kecel,46.53,19.25,55.0,81,90,9.17,HU,1590943101
138,yaan,7.38,8.57,84.47,72,98,4.83,NG,1590943101
139,hilo,19.73,-155.09,73.4,83,90,3.36,US,1590943101
140,sumbe,-11.21,13.84,76.26,87,63,5.26,AO,1590943102
141,tanout,14.97,8.89,104.54,11,49,3.53,NE,1590943103
142,bengkulu,-3.8,102.27,77.65,85,34,3.74,ID,1590943103
143,guerrero negro,27.98,-114.06,71.26,62,3,12.77,MX,1590943103
144,carnarvon,-24.87,113.63,67.15,41,100,16.46,AU,1590943105
145,namwala,-15.75,26.44,67.41,54,65,3.67,ZM,1590943105
146,samara,53.0,50.0,71.6,43,20,6.71,RU,1590942830
147,lakitelek,46.88,20.0,55.0,81,90,9.17,HU,1590943106
148,cannes,43.55,7.02,69.8,68,13,6.93,FR,1590943106
149,mackenzie,55.3,-123.17,53.6,87,90,8.05,CA,1590943106
150,mareeba,-17.0,145.43,69.8,94,30,8.05,AU,1590943106
151,keti bandar,24.14,67.45,83.07,88,6,11.68,PK,1590943106
152,kawalu,-7.38,108.21,73.0,93,82,0.89,ID,1590943106
153,groa,62.65,8.72,68.0,37,0,8.05,NO,1590943106
154,lockhart,28.62,-81.44,93.0,55,85,6.33,US,1590943106
155,potosi,-19.58,-65.75,54.55,35,15,15.79,BO,1590942977
156,mani,4.82,-72.29,84.67,72,54,3.8,CO,1590943107
157,rock sound,24.9,-76.2,79.27,82,89,10.16,BS,1590943107
158,nanortalik,60.14,-45.24,44.38,66,100,4.14,GL,1590943107
159,arraial do cabo,-22.97,-42.03,78.8,54,29,5.82,BR,1590943107
160,san cristobal,7.77,-72.22,87.8,55,40,6.93,VE,1590943108
161,kruisfontein,-34.0,24.73,58.75,51,0,3.74,ZA,1590943108
162,visnes,59.36,5.22,66.0,67,100,12.75,NO,1590943108
163,riyadh,24.69,46.72,102.2,10,0,6.93,SA,1590942986
164,copiapo,-27.37,-70.33,66.2,63,20,10.29,CL,1590943108
165,ribeira grande,38.52,-28.7,68.0,72,40,16.11,PT,1590943108
166,huainan,32.63,117.0,76.82,65,93,4.52,CN,1590943108
167,naryan-mar,67.67,53.09,38.88,81,100,12.17,RU,1590943109
168,tuatapere,-46.13,167.68,40.5,71,52,3.89,NZ,1590943109
169,lookan,5.04,120.1,83.55,73,23,3.62,PH,1590943109
170,port blair,11.67,92.75,83.39,80,50,5.97,IN,1590943109
171,tommot,58.96,126.29,35.22,80,11,1.52,RU,1590943109
172,marawi,8.0,124.29,78.01,91,99,5.01,PH,1590943110
173,vardo,70.37,31.11,46.4,87,75,4.7,NO,1590943110
174,provideniya,64.38,-173.3,48.06,53,39,10.87,RU,1590943110
175,nsanje,-16.92,35.26,71.82,64,13,6.33,MW,1590943110
176,zhanaozen,43.3,52.8,79.47,35,4,23.91,KZ,1590943007
177,general roca,-39.03,-67.58,46.4,75,5,2.24,AR,1590943111
178,antalaha,-14.9,50.28,73.83,79,56,10.42,MG,1590943111
179,zelenoborskiy,66.84,32.36,43.86,92,100,5.26,RU,1590943111
180,kayerkan,69.35,87.76,39.2,69,0,13.42,RU,1590943111
181,komsomolskiy,40.43,71.72,84.2,20,45,11.41,UZ,1590943112
182,la paz,-16.5,-68.15,55.4,22,20,10.29,BO,1590942949
183,robertsport,6.75,-11.37,78.04,89,100,10.67,LR,1590943112
184,salihli,38.48,28.15,71.01,46,74,14.0,TR,1590943112
185,avera,33.19,-82.53,84.2,54,1,3.36,US,1590943112
186,tigil,57.8,158.67,34.0,93,90,2.17,RU,1590943112
187,batagay,67.63,134.63,35.94,75,8,2.15,RU,1590943112
188,jumla,29.27,82.18,54.73,67,89,2.33,NP,1590943113
189,port lincoln,-34.73,135.87,53.15,64,44,18.75,AU,1590943113
190,tiznit,29.58,-9.5,74.68,53,0,8.88,MA,1590943113
191,mnogovershinnyy,53.94,139.92,36.32,100,100,1.92,RU,1590943113
192,camopi,3.17,-52.32,81.77,90,56,2.95,GF,1590943113
193,praia,14.92,-23.51,82.4,51,22,19.46,CV,1590943113
194,ugoofaaru,5.67,73.0,83.57,77,99,15.05,MV,1590943113
195,anchorage,61.22,-149.9,51.8,81,75,4.7,US,1590942933
196,sao sebastiao,-23.76,-45.41,80.17,42,56,1.88,BR,1590943114
197,baft,29.23,56.61,77.45,19,35,6.02,IR,1590943114
198,dalvik,65.97,-18.53,48.2,76,75,2.24,IS,1590943114
199,grand-santi,4.25,-54.38,84.06,83,75,3.65,GF,1590943114
200,bambous virieux,-20.34,57.76,73.4,83,40,5.82,MU,1590943115
201,griffith,41.53,-87.42,64.99,47,1,5.37,US,1590943104
202,panama city,8.99,-79.52,82.4,78,75,8.05,PA,1590943115
203,darhan,49.49,105.92,53.98,51,51,0.31,MN,1590942948
204,tiksi,71.69,128.87,33.91,85,0,4.21,RU,1590943116
205,batemans bay,-35.72,150.18,48.99,82,100,5.01,AU,1590943116
206,cabo san lucas,22.89,-109.91,80.01,88,20,19.46,MX,1590943116
207,noumea,-22.28,166.46,66.2,93,75,2.24,NC,1590943116
208,melfi,41.0,15.65,69.8,49,40,4.7,IT,1590943117
209,ewo,-0.87,14.82,79.38,78,96,3.49,CG,1590943117
210,yumen,40.28,97.2,63.68,28,89,4.27,CN,1590943117
211,elias fausto,-23.04,-47.37,75.2,31,23,5.82,BR,1590943117
212,cap malheureux,-19.98,57.61,72.0,82,13,5.01,MU,1590943117
213,uinskoye,56.88,56.58,50.94,86,83,12.28,RU,1590943117
214,akdepe,42.06,59.38,89.6,21,0,2.24,TM,1590943117
215,saint-augustin,51.23,-58.65,54.5,67,99,11.79,CA,1590943118
216,chalchihuites,23.48,-103.88,67.82,30,0,5.19,MX,1590943118
217,norman wells,65.28,-126.83,48.2,41,75,10.29,CA,1590943118
218,zyryanka,65.75,150.85,45.99,64,100,7.18,RU,1590943119
219,henties bay,-22.12,14.28,70.07,37,0,11.03,NA,1590943119
220,bethel,41.37,-73.41,64.0,38,1,12.75,US,1590943119
221,mayo,38.89,-76.51,72.0,45,40,11.41,US,1590943119
222,mehriz,31.59,54.43,98.6,10,40,4.7,IR,1590943119
223,gosainganj,26.58,82.38,88.88,39,0,7.36,IN,1590943119
224,vestmannaeyjar,63.44,-20.27,48.2,70,20,13.87,IS,1590943120
225,liuzhou,24.31,109.39,79.68,86,100,7.58,CN,1590943120
226,ostrovnoy,68.05,39.51,39.49,73,100,2.44,RU,1590943120
227,kaeo,-35.1,173.78,60.01,3,95,7.0,NZ,1590943120
228,porto novo,6.5,2.6,86.0,74,20,10.29,BJ,1590943120
229,los llanos de aridane,28.66,-17.92,73.4,73,75,11.41,ES,1590943120
230,ridgecrest,35.62,-117.67,73.99,30,1,1.77,US,1590943120
231,ruidoso,33.33,-105.67,73.99,32,1,8.05,US,1590943121
232,moerai,-22.43,-151.33,76.23,77,0,2.68,PF,1590943121
233,kavaratti,10.57,72.64,82.15,81,100,20.62,IN,1590943121
234,ndende,-2.4,11.36,77.81,90,98,2.73,GA,1590943121
235,salalah,17.02,54.09,78.8,94,90,14.99,OM,1590943121
236,broome,42.25,-75.83,57.0,57,75,17.22,US,1590943121
237,high level,58.52,-117.14,51.8,93,90,3.36,CA,1590943121
